図鑑No,種族名,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,攻撃,防御,特攻,特防,素早さ
1,フシギダネ,くさ,どく,しんりょく,,ようりょくそ,45,49,49,65,65,45
2,フシギソウ,くさ,どく,しんりょく,,ようりょくそ,60,62,63,80,80,60
3,フシギバナ,くさ,どく,しんりょく,,ようりょくそ,80,82,83,100,100,80
3,メガフシギバナ,くさ,どく,あついしぼう,,,80,100,123,122,120,80
4,ヒトカゲ,ほのお,,もうか,,サンパワー,39,52,43,60,50,65
5,リザード,ほのお,,もうか,,サンパワー,58,64,58,80,65,80
6,リザードン,ほのお,ひこう,もうか,,サンパワー,78,84,78,109,85,100
6,メガリザードンX,ほのお,ドラゴン,かたいツメ,,,78,130,111,130,85,100
6,メガリザードンY,ほのお,ひこう,ひでり,,,78,104,78,159,115,100
7,ゼニガメ,みず,,げきりゅう,,あめうけざら,44,48,65,50,64,43
8,カメール,みず,,げきりゅう,,あめうけざら,59,63,80,65,80,58
9,カメックス,みず,,げきりゅう,,あめうけざら,79,83,100,85,105,78
9,メガカメックス,みず,,メガランチャー,,,79,103,120,135,115,78
10,キャタピー,むし,,りんぷん,,にげあし,45,30,35,20,20,45
11,トランセル,むし,,だっぴ,,,50,20,55,25,25,30
12,バタフリー,むし,ひこう,ふくがん,,いろめがね,60,45,50,90,80,70
13,ビートル,むし,どく,りんぷん,,にげあし,40,35,30,20,20,50
14,コクーン,むし,どく,だっぴ,,,45,25,50,25,25,35
15,スピアー,むし,どく,むしのしらせ,,スナイパー,65,90,40,45,80,75
15,メガスピアー,むし,どく,てきおうりょく,,,65,150,40,15,80,145
16,ポッポ,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,40,45,40,35,35,56
17,ピジョン,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,63,60,55,50,50,71
18,ピジョット,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,83,80,75,70,70,101
18,メガピジョット,ノーマル,ひこう,ノーガード,,,83,80,80,135,80,121
19,コラッタ,ノーマル,,にげあし,こんじょう,はりきり,30,56,35,25,35,72
19,コラッタ(アローラ),あく,ノーマル,くいしんぼう,はりきり,あついしぼう,30,56,35,25,35,72
20,ラッタ,ノーマル,,にげあし,こんじょう,はりきり,55,81,60,50,70,97
20,ラッタ(アローラ),あく,ノーマル,くいしんぼう,はりきり,あついしぼう,75,71,70,40,80,77
